iter	Passed	Remaining
168	353	1737
169	355	1734
170	356	1730
171	358	1725
172	359	1720
173	361	1716
174	363	1713
175	367	1718
176	368	1715
177	370	1711
178	372	1706
179	373	1701
180	375	1697
181	376	1692
182	378	1689
183	381	1693
184	384	1693
185	385	1688
186	387	1683
187	388	1679
188	390	1675
189	391	1670
190	393	1667
191	396	1669
192	399	1669
193	400	1665
194	402	1661
195	404	1657
196	405	1652
197	406	1648
198	408	1645
199	412	1648
200	414	1649
201	416	1647
202	418	1643
203	420	1639
204	421	1634
205	423	1630
206	425	1628
207	428	1631
208	430	1628
209	431	1624
210	433	1620
211	434	1615
212	436	1611
213	437	1607
214	439	1604
215	442	1606
216	444	1603
217	446	1600
218	447	1597
219	449	1593
220	450	1589
221	452	1586
222	454	1582
223	456	1582
224	459	1583
225	461	1579
226	462	1575
227	464	1571
228	465	1567
229	467	1564
230	468	1560
231	470	1559
232	474	1563
233	476	1560
234	478	1557
235	480	1553
236	481	1550
237	483	1546
238	484	1543
239	486	1541
240	490	1544
241	492	1541
242	493	1537
243	495	1533
244	496	1530
245	498	1526
246	499	1523
247	501	1520
248	505	1523
249	506	1520
250	508	1517
251	510	1513
252	511	1510
253	513	1506
254	514	1503
255	516	1500
256	519	1501
257	523	1504
258	524	1501
259	533	1517
260	538	1523
261	542	1526
262	546	1532
263	550	1534
264	552	1532
265	554	1530
266	556	1528
267	558	1525
268	561	1527
269	564	1525
270	566	1522
271	567	1519
272	569	1516
273	570	1512
274	572	1509
275	574	1506
276	577	1507
277	580	1507
278	581	1503
279	583	1500
280	584	1496
281	586	1493
282	588	1489
283	590	1487
284	593	1488
285	595	1486
286	596	1483
287	598	1480
288	600	1476
289	601	1473
290	603	1470
291	605	1467
292	610	1472
293	611	1468
294	613	1465
295	614	1461
296	616	1458
297	617	1455
298	619	1451
299	621	1450
300	626	1454
301	628	1452
302	630	1449
303	631	1446
304	633	1443
305	634	1439
306	636	1437
307	640	1440
308	642	1437
309	644	1434
310	646	1431
311	647	1428
312	649	1424
313	650	1421
314	652	1418
315	655	1419
316	657	1416
317	659	1413
318	660	1410
319	662	1406
320	663	1403
321	665	1400
322	666	1397
323	668	1395
324	671	1395
325	673	1392
326	675	1389
327	676	1386
328	678	1383
329	679	1379
330	681	1376
331	682	1373
332	685	1372
333	687	1369
334	688	1367
335	690	1364
336	692	1361
337	693	1358
338	695	1355
339	696	1352
340	698	1350
341	701	1350
342	703	1346
343	704	1343
344	706	1340
345	707	1337
346	709	1334
347	710	1331
348	712	1328
349	714	1326
350	716	1324
351	718	1322
352	720	1320
353	721	1317
354	723	1314
355	724	1311
356	726	1308
357	727	1305
358	730	1303
359	732	1302
360	734	1300
361	736	1297
362	737	1294
363	739	1291
364	740	1288
365	742	1285
366	743	1283
367	746	1281
368	748	1280
369	750	1278
370	752	1275
371	753	1272
372	755	1269
373	756	1266
374	758	1264
375	760	1261
376	762	1260
377	765	1260
378	767	1257
379	769	1254
380	770	1251
381	771	1248
382	773	1246
383	775	1243
384	777	1241
385	780	1242
386	782	1240
387	784	1237
388	786	1234
389	787	1232
390	789	1229
391	790	1226
392	793	1225
393	796	1224
394	797	1221
395	799	1219
396	800	1216
397	802	1213
398	803	1210
399	805	1208
400	807	1206
401	811	1207
402	813	1205
403	815	1203
404	817	1200
405	818	1197
406	820	1195
407	821	1192
408	824	1191
409	827	1190
410	828	1187
411	830	1185
412	831	1182
413	833	1179
414	835	1177
415	836	1174
416	838	1172
417	841	1172
418	843	1169
419	845	1166
420	846	1164
421	848	1161
422	849	1158
423	851	1156
424	853	1154
425	856	1154
426	858	1151
427	859	1149
428	861	1146
429	862	1143
430	864	1141
431	866	1138
432	867	1136
433	870	1135
434	872	1133
435	874	1131
436	876	1128
437	877	1126
438	879	1123
439	880	1121
440	882	1118
441	884	1116
442	887	1115
443	888	1113
444	890	1110
445	892	1108
446	893	1105
447	895	1103
448	896	1100
449	898	1098
450	900	1096
451	903	1095
452	904	1092
453	906	1090
454	907	1087
455	909	1085
456	911	1082
457	912	1079
458	914	1077
459	916	1075
460	918	1074
461	920	1071
462	922	1069
463	923	1067
464	925	1064
465	926	1061
466	928	1059
467	930	1057
468	932	1056
469	935	1054
470	936	1052
471	938	1049
472	940	1047
473	941	1045
474	943	1042
475	945	1040
476	948	1039
477	950	1037
478	951	1035
479	953	1032
480	955	1030
481	956	1028
482	958	1025
483	960	1023
484	962	1022
485	965	1021
486	968	1019
487	970	1017
488	971	1015
489	973	1013
490	975	1010
491	977	1009
492	980	1008
493	982	1006
494	983	1003
495	985	1001
496	987	999
497	989	997
498	991	994
499	993	993
500	996	992
501	998	990
502	1000	988
503	1001	985
504	1003	983
505	1005	981
506	1007	979
507	1010	978
508	1012	977
509	1014	974
510	1016	972
511	1018	970
512	1019	968
513	1021	965
514	1024	964
515	1026	963
516	1028	960
517	1030	958
518	1032	956
519	1033	954
520	1035	952
521	1037	950
522	1040	949
523	1042	947
524	1044	945
525	1046	942
526	1047	940
527	1049	938
528	1051	935
529	1052	933
530	1056	933
531	1058	930
532	1060	928
533	1061	926
534	1063	924
535	1065	922
536	1066	919
537	1068	917
538	1072	917
539	1074	915
540	1076	913
541	1078	911
542	1080	908
543	1081	906
544	1083	904
545	1085	902
546	1090	902
547	1092	900
548	1094	898
549	1095	896
550	1097	894
551	1099	892
552	1104	892
553	1106	890
554	1108	888
555	1110	886
556	1112	884
557	1113	882
558	1115	880
559	1119	879
560	1121	877
561	1124	876
562	1126	874
563	1128	872
564	1129	869
565	1132	868
566	1135	866
567	1137	864
568	1138	862
569	1140	860
570	1141	857
571	1143	855
572	1145	853
573	1147	851
574	1150	850
575	1151	847
576	1153	845
577	1154	843
578	1156	840
579	1158	838
580	1159	836
581	1161	834
582	1164	832
583	1166	830
584	1168	828
585	1169	826
586	1171	824
587	1173	822
588	1174	819
589	1176	817
590	1179	815
591	1181	814
592	1183	812
593	1184	809
594	1186	807
595	1188	805
596	1189	803
597	1191	800
598	1193	798
599	1196	797
600	1198	795
601	1200	793
602	1203	792
603	1204	789
604	1206	787
605	1209	786
606	1211	784
607	1213	782
608	1215	780
609	1217	778
610	1218	775
611	1220	773
612	1221	771
613	1224	769
614	1227	768
615	1229	766
616	1230	763
617	1232	761
618	1234	759
619	1235	757
620	1237	755
621	1239	753
622	1241	751
623	1243	749
624	1245	747
625	1246	744
626	1248	742
627	1250	740
628	1253	739
629	1255	737
630	1256	734
631	1258	732
632	1260	730
633	1261	728
634	1263	726
635	1264	723
636	1267	722
637	1270	720
638	1271	718
639	1273	716
640	1275	714
641	1276	712
642	1278	709
643	1280	707
644	1282	705
645	1285	704
646	1287	702
647	1289	700
648	1290	698
649	1292	695
650	1293	693
