iter	RMSE
271	1229925.555
272	1227905.063
273	1226603.188
274	1224610.857
275	1223817.575
276	1222982.523
277	1221045.261
278	1220233.497
279	1217861.541
280	1217451.527
281	1217142.738
282	1216024.453
283	1215766.061
284	1214392.218
285	1213611.668
286	1213367.328
287	1210780.559
288	1210549.85
289	1209053.077
290	1208195.435
291	1207975.881
292	1207767.549
293	1207569.354
294	1207230.912
295	1206219.284
296	1205599.225
297	1203824.203
298	1203503.701
299	1201966.657
300	1201783.123
301	1201252.557
302	1199442.379
303	1199127.067
304	1197455.185
305	1197282.862
306	1196817.319
307	1195146.075
308	1193854.973
309	1193284.151
310	1192996.045
311	1191282.068
312	1190282.226
313	1188869.127
314	1187363.379
315	1186090.022
316	1185925.89
317	1185034.778
318	1183646.075
319	1182634.435
320	1181285.666
321	1180716.35
322	1179577.324
323	1178215.351
324	1176856.036
325	1175279.058
326	1174537.235
327	1173859.616
328	1172658.786
329	1171761.869
330	1170968.493
331	1169793.443
332	1167557.95
333	1167257.966
334	1166415.619
335	1165624.697
336	1163914.348
337	1161912.239
338	1160033.267
339	1159492.268
340	1158063.653
341	1156608.004
342	1155749.911
343	1154987.295
344	1153163.918
345	1152852.106
346	1150445.919
347	1149836.463
348	1149134.529
349	1147823.644
350	1146887.743
351	1146317.384
352	1146154.53
353	1144313.022
354	1143887.917
355	1143127.16
356	1141514.135
357	1141216.325
358	1140809.366
359	1139984.775
360	1139081.791
361	1137978.494
362	1137814.509
363	1137010.923
364	1136133.768
365	1135166.562
366	1133633.555
367	1133177.911
368	1131452.129
369	1130214.015
370	1128939.032
371	1127835.576
372	1127260.796
373	1126053.723
374	1125788.603
375	1125073.588
376	1124916.84
377	1124011.933
378	1122759.253
379	1122608.853
380	1122365.901
381	1121528.142
382	1119533.24
383	1118625.251
384	1118480.871
385	1118241.267
386	1117450.431
387	1117005.127
388	1114995.375
389	1114260.72
390	1114108.141
391	1113961.219
392	1112858.15
393	1112715.87
394	1111952.246
395	1111810.988
396	1111462.659
397	1110292.755
398	1110167.911
399	1108897.036
400	1107726.434
401	1107517.342
402	1107156.791
403	1106118.57
404	1105931.697
405	1105303.64
406	1105189.318
407	1104968.406
408	1103770.422
409	1102277.773
410	1101573.926
411	1101434.802
412	1100630.806
413	1099562.585
414	1098177.025
415	1096579.458
416	1096453.613
417	1096331.401
418	1095595.141
419	1095365.161
420	1095241.452
421	1094651.658
422	1093414.124
423	1092926.48
424	1091979.622
425	1091790.2
426	1091406.22
427	1090067.456
428	1089302.746
429	1087867.562
430	1086968.138
431	1086317.292
432	1085467.732
433	1084585.32
434	1084209.347
435	1084082.961
436	1082577.302
437	1081599.898
438	1081493.844
439	1081292.44
440	1081178.104
441	1081068.882
442	1080171.33
443	1078507.315
444	1078321.407
445	1077468.129
446	1076358.027
447	1075150.498
448	1074530.656
449	1074428.803
450	1073807.23
451	1073698.237
452	1073508.355
453	1072963.416
454	1072232.859
455	1071032.574
456	1070142.039
457	1069310.303
458	1068513.248
459	1068410.284
460	1068067.162
461	1067319.422
462	1066893.543
463	1066258.948
464	1065736.152
465	1065642.662
466	1065551.984
467	1063945.707
468	1062072.138
469	1061316.79
470	1060561.601
471	1059859.166
472	1059157.99
473	1058497.238
474	1057545.505
475	1056924.616
476	1056569.791
477	1056136.317
478	1055293.123
479	1055135.341
480	1054740.763
481	1054143.431
482	1053411.934
483	1052900.761
484	1052423.903
485	1051565.31
486	1050861.327
487	1050177.007
488	1049350.549
489	1048929.148
490	1048332.268
491	1048234.604
492	1048133.454
493	1047981.115
494	1047008.083
495	1045393.485
496	1044831.813
497	1044192.083
498	1042812.936
499	1042724.099
500	1042475.293
501	1042386.678
502	1041562.342
503	1040777.179
504	1040476.254
505	1040024.719
506	1039943.196
507	1039111.065
508	1038619.462
509	1037424.335
510	1036869.652
511	1036723.256
512	1036021.23
513	1035942.782
514	1035117.386
515	1034348.11
516	1033501.555
517	1032760.795
518	1031470.03
519	1031386.862
520	1030062.104
521	1029741.367
522	1029530.411
523	1029453.721
524	1028626.17
525	1028489.645
526	1028352.386
527	1027134.049
528	1026252.115
529	1025767.93
530	1024831.825
531	1024753.004
532	1024347.279
533	1023404.549
534	1023329.549
535	1022389.166
536	1020984.132
537	1020279.823
538	1019754.896
539	1019319.126
540	1019104.578
541	1019034.006
542	1018522.746
543	1017276.602
544	1017204.445
545	1016188.557
546	1015563.986
547	1015272.083
548	1014213.708
549	1013900.819
550	1013103.414
551	1013037.66
552	1012973.896
553	1012139.681
554	1010803.763
555	1010158.451
556	1009326.857
557	1009224.82
558	1008732.685
559	1008650.859
560	1007958.157
561	1007448.199
562	1006548.166
563	1006071.769
564	1005326.429
565	1004701.15
566	1004620.482
567	1003519.108
568	1003446.939
569	1002329.325
570	1001065.421
571	1000559.696
572	999017.8933
573	998592.366
574	997631.1425
575	997381.7011
576	997070.2118
577	996992.0612
578	996793.9236
579	996432.3507
580	995682.4334
581	995264.5384
582	994868.0152
583	994760.3596
584	993549.4517
585	992654.5035
586	992122.2466
587	991336.7279
588	990544.0253
589	990146.8338
590	989910.9012
591	989135.9512
592	989065.0931
593	988998.278
594	988507.244
595	988443.671
596	988388.7143
597	988154.8265
598	987304.1174
599	987092.1071
600	986369.2945
601	985287.7344
602	984375.4383
603	983854.7855
604	983756.6627
605	983582.7388
606	983523.463
607	982815.4101
608	981843.2521
609	980931.2037
610	980877.1126
611	980826.2047
612	980512.0818
613	979673.3301
614	978930.84
615	978250.415
616	977468.3987
617	976684.2685
618	975267.2405
619	974444.0384
620	974088.3086
621	973121.486
622	972899.3065
623	972833.6625
624	972321.8964
625	971900.0121
626	971371.4459
627	970750.3685
628	970129.6367
629	969647.5969
630	969248.3854
631	968673.9634
632	968320.0817
633	968252.9479
634	968190.5274
635	967460.1916
636	967019.1911
637	966038.4834
638	965986.0669
639	965664.6074
640	965193.468
641	965024.6516
642	964956.9708
643	964843.21
644	964737.7781
645	964672.1435
646	964007.4656
647	963753.4379
648	963307.2289
649	963258.0893
650	962952.2005
